ID,Nuka Special,Price,Brand,Quantity,Size,ItemType
2041,Cashews,2.50,Random Bytes Co.,10,M,NR
2042,Almonds,2.50,Random Bytes Co.,10,M,NR
2043,Pistachios,2.50,Random Bytes Co.,10,M,NR
2044,Sunflower Seeds,1.50,Random Bytes Co.,15,M,NR
2045,Beef Jerky,3.00,Random Bytes Co.,10,M,NR
2046,Meat Stick,1.75,Random Bytes Co.,15,1pk,NR
2047,Cheese Stick,1.50,Random Bytes Co.,15,1pk,NR
2048,Granola Bar,1.50,Random Bytes Co.,15,1pk,NR
2049,Protein Bar,2.50,Random Bytes Co.,10,1pk,NR
Totals,3177.50
