ID,Product Name,Price,Brand,Quantity,Size,ItemType
2031,Kettle Corn,1.75,Random Bytes Co.,12,M,NR
2032,Caramel Chocolate Bar,1.75,Random Bytes Co.,15,M,NR
2033,Peanut Chocolate Bar,1.75,Random Bytes Co.,15,M,NR
2034,Almond Chocolate Bar,1.75,Random Bytes Co.,15,M,NR
2035,Dark Chocolate Bar,1.75,Random Bytes Co.,15,M,NR
2036,White Chocolate Bar,1.75,Random Bytes Co.,15,M,NR
2037,Chocolate Covered Nuts,2.00,Random Bytes Co.,12,M,NR
2038,Trail Mix,2.00,Random Bytes Co.,12,M,NR
2039,Mixed Nuts,2.25,Random Bytes Co.,10,M,NR
2040,Peanuts,1.50,Random Bytes Co.,15,M,NR
2041,Cashews,2.50,Random Bytes Co.,10,M,NR
2042,Almonds,2.50,Random Bytes Co.,10,M,NR
2043,Pistachios,2.50,Random Bytes Co.,10,M,NR
2044,Sunflower Seeds,1.50,Random Bytes Co.,15,M,NR
2045,Beef Jerky,3.00,Random Bytes Co.,10,M,NR
2046,Meat Stick,1.75,Random Bytes Co.,15,1pk,NR
2047,Cheese Stick,1.50,Random Bytes Co.,15,1pk,NR
2048,Granola Bar,1.50,Random Bytes Co.,15,1pk,NR
2049,Protein Bar,2.50,Random Bytes Co.,10,1pk,NR
Totals,3177.50
